Frame,Bounce,Person1_X,Person1_Y,Person2_X,Person2_Y,Ball_Frame_X,Ball_Frame_Y
356,0,802.5,294.0,993.0,967.5,988.5,379.5
357,0,802.5,294.0,1023.0,973.5,1009.5,406.5
358,0,805.5,294.0,1057.5,976.5,1039.5,445.5
359,0,804.0,292.5,1080.0,975.0,1060.5,475.5
360,0,805.5,292.5,1096.5,960.0,1093.5,523.5
361,0,810.0,294.0,1110.0,954.0,1114.5,556.5
362,0,817.5,294.0,1143.0,951.0,1141.5,601.5
363,0,825.0,294.0,1161.0,949.5,1177.5,661.5
364,1,829.5,292.5,1176.0,951.0,1198.5,685.5
365,0,837.0,294.0,1198.5,948.0,1222.5,685.5
366,0,844.5,295.5,1209.0,946.5,1246.5,691.5
367,0,846.0,292.5,1215.0,945.0,1273.5,697.5
368,0,844.5,294.0,1225.5,945.0,1300.5,706.5
369,0,844.5,294.0,1240.5,943.5,1327.5,718.5
370,0,847.5,295.5,1269.0,942.0,1354.5,736.5
371,0,850.5,294.0,1294.5,940.5,1384.5,754.5
372,0,853.5,291.0,1305.0,942.0,1414.5,775.5
373,0,859.5,289.5,1303.5,933.0,,
374,0,864.0,291.0,1326.0,936.0,1264.5,631.5
375,0,868.5,289.5,1354.5,936.0,1198.5,577.5
376,0,874.5,291.0,1377.0,931.5,1150.5,538.5
377,0,879.0,291.0,1390.5,930.0,,
378,0,882.0,289.5,1408.5,930.0,1063.5,469.5
379,0,883.5,288.0,1417.5,930.0,1033.5,448.5
380,0,885.0,288.0,1420.5,933.0,994.5,421.5
381,0,883.5,291.0,1423.5,933.0,964.5,412.5
382,0,882.0,288.0,1426.5,930.0,946.5,394.5
383,0,879.0,286.5,1426.5,931.5,919.5,388.5
384,0,867.0,288.0,1426.5,933.0,895.5,385.5
385,0,861.0,289.5,1423.5,933.0,880.5,379.5
386,0,850.5,289.5,1419.0,930.0,859.5,376.5
387,0,840.0,289.5,1411.5,927.0,844.5,376.5
388,1,834.0,289.5,1398.0,921.0,829.5,373.5
389,0,829.5,291.0,1372.5,924.0,817.5,364.5
390,0,831.0,291.0,1354.5,925.5,805.5,343.5
391,0,820.5,291.0,1342.5,927.0,793.5,325.5
392,0,817.5,294.0,1338.0,930.0,,
393,0,811.5,297.0,1330.5,933.0,766.5,295.5
394,0,807.0,297.0,1320.0,934.5,,
395,0,802.5,294.0,1314.0,939.0,757.5,277.5
396,0,799.5,294.0,1308.0,939.0,748.5,271.5
397,0,799.5,292.5,1293.0,940.5,742.5,265.5
398,0,795.0,294.0,1276.5,940.5,733.5,259.5
399,0,793.5,295.5,1266.0,940.5,727.5,259.5
400,0,792.0,295.5,1252.5,943.5,721.5,259.5
401,0,789.0,297.0,1236.0,948.0,715.5,259.5
402,0,784.5,298.5,1219.5,948.0,709.5,259.5
403,0,780.0,297.0,1201.5,955.5,706.5,262.5
404,0,780.0,300.0,1186.5,958.5,700.5,268.5
405,0,781.5,297.0,1174.5,961.5,694.5,274.5
406,0,780.0,297.0,1170.0,966.0,688.5,283.5
407,0,778.5,300.0,1167.0,966.0,685.5,292.5
408,0,775.5,297.0,1170.0,966.0,679.5,307.5
409,0,774.0,297.0,1155.0,963.0,676.5,319.5
410,0,771.0,298.5,1134.0,961.5,670.5,340.5
411,0,772.5,300.0,1101.0,960.0,664.5,361.5
412,0,774.0,300.0,1068.0,961.5,661.5,382.5
413,0,780.0,298.5,1054.5,964.5,655.5,415.5
414,0,787.5,298.5,1042.5,960.0,652.5,442.5
415,0,795.0,295.5,1020.0,958.5,652.5,481.5
416,0,804.0,295.5,993.0,958.5,646.5,511.5
417,0,807.0,297.0,958.5,958.5,640.5,547.5
418,0,811.5,300.0,930.0,963.0,637.5,586.5
419,0,820.5,298.5,913.5,970.5,634.5,634.5
420,0,828.0,298.5,892.5,973.5,634.5,688.5
421,1,841.5,300.0,871.5,969.0,625.5,724.5
